Real_Date,val,RegionName,field,RegionLat,RegionLon,source,Real_Date
2016-02-09,95.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2016-02-09
2016-03-10,96.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2016-03-10
2016-04-09,96.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2016-04-09
2016-05-09,94.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2016-05-09
2016-06-08,107.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2016-06-08
2016-07-08,146.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2016-07-08
2016-08-07,107.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2016-08-07
2016-09-11,203.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2016-09-11
2016-10-11,75.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2016-10-11
2014-09-11,183.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2014-09-11
2014-10-11,240.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2014-10-11
2014-11-10,206.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2014-11-10
2014-12-10,232.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2014-12-10
2015-01-09,284.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2015-01-09
2015-02-08,196.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2015-02-08
2015-03-10,293.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2015-03-10
2015-04-09,386.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2015-04-09
2015-05-09,275.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2015-05-09
2015-06-08,255.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2015-06-08
2015-07-08,328.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2015-07-08
2015-08-07,399.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2015-08-07
2015-09-12,343.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2015-09-12
2015-10-12,323.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2015-10-12
2015-11-11,343.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2015-11-11
2015-12-11,341.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2015-12-11
2016-01-10,410.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2016-01-10
2016-02-09,420.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2016-02-09
2016-03-10,387.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2016-03-10
2016-04-09,441.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2016-04-09
2016-05-09,337.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2016-05-09
2016-06-08,431.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2016-06-08
2016-07-08,528.0,Addis Ababa,forecast_hmis_indicator_4531,8.98048300125,38.7855383451,forecast,2016-07-08
